FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0032633	14.5204	12.6893	12.1512	11.5063	11.0891	14.7998
FBgn0032632	0	0	0	0	0	0
FBgn0032629	12.4353	8.34284	10.5529	12.7001	10.3165	13.9762
FBgn0051784	0	0	0.0184473	0	0	0
FBgn0020503	199.303	181.213	186.706	173.369	176.029	235.57
FBgn0032635	7.97386	7.85398	6.33244	6.80912	8.40219	8.54192
FBgn0032636	0	0.0615279	0.0535769	0	0.0619958	0.0719509
FBgn0032637	0.723605	0.459596	0.711469	0.572771	0.308726	0.298572
FBgn0032640	22.9822	21.7607	16.7534	17.1052	21.9707	17.3267
FBgn0032642	64.4861	43.0989	47.5976	45.8056	41.2286	48.4724
FBgn0032644	14.8257	17.1315	11.8262	10.8398	19.1924	26.4918
FBgn0013810	0.322412	0.195569	0.208526	0.199038	0.213142	0.270704
FBgn0032651	5.4451	4.19645	3.07707	3.82584	5.00806	4.58269
FBgn0032654	0.120213	0	0	0.224151	0	0
FBgn0032652	96.0615	47.8162	49.7099	73.5023	82.4581	94.1931
FBgn0032650	0	0.158216	0.0344426	0	0	0.092509
FBgn0032649	0.283076	0.111134	0.112902	0.282765	0.242622	0.324902
FBgn0032648	0.62858	0.515204	0.395846	0.354703	0.564926	0.85056
FBgn0032647	1.57874	1.57638	0.919311	0.603469	2.17125	1.77577
FBgn0032646	14.0884	11.1706	10.2307	10.964	13.2953	13.5279
FBgn0032645	0	0	0.0729224	0	0.506287	0
FBgn0003187	0.389059	0.41647	0.619324	0.332369	0.264196	0.308722
FBgn0032643	16.114	16.3339	14.5799	16.2813	18.0928	19.5256
FBgn0024689	15.3466	12.5779	10.9082	10.4455	15.0295	12.6298
FBgn0027885	57.8947	39.7921	42.4669	40.4548	40.6079	39.5096
FBgn0000183	31.7626	33.9322	31.8861	28.3385	28.1019	27.8925
FBgn0032639	0.448195	0.456192	0.715035	1.81071	0.781423	1.17364
FBgn0032638	0.264085	0.380156	0.210658	4.08004	0.417869	0.929529
FBgn0011274	65.2649	44.1943	51.0016	59.7213	36.7061	45.9596
FBgn0051803	0	0	0	0.267862	0.0662984	0.230833
FBgn0032634	21.7479	14.4482	10.1969	11.4535	11.9524	10.4928
FBgn0032656	17.0248	17.9251	16.6386	18.6688	16.4291	15.5772
FBgn0032658	0.0531656	0.0730542	0	0.0495668	0.0245366	0.0284766
FBgn0051742	0	0	0.0473437	0	0.0547831	0
FBgn0040989	0	0	0	0	0	0.144006
FBgn0051740	0	0	0	0	0	0
FBgn0000120	1907.54	2016.03	1855.74	1528.37	1221.51	1196.49
FBgn0002939	0.788106	1.22417	1.09331	0.926428	0.790769	0.880951
FBgn0051741	0	0	0.0226067	0	0	0
FBgn0032664	0	0	0	0	0.0356982	0
FBgn0032665	0	0	0	0	0	0
FBgn0041184	15.3054	25.4546	26.0388	29.5935	27.6814	23.8668
FBgn0051785	0	0.111741	0.0973014	0.0379079	0.225182	0.0871136
FBgn0032663	0	0	0.0373746	0	0	0
FBgn0032660	0.26749	0.465045	0.28942	0.0414877	0.167351	0.239118
FBgn0023096	0.393606	0.288453	0.254489	0.25108	0.229457	0.355071
FBgn0032669	0.44483	0.811883	0.76588	0	0.410567	0.395591
FBgn0032670	8.27466	8.40814	9.70665	7.77937	8.53626	8.41721
FBgn0032677	0	0	0	0	0	0
FBgn0000636	37.2152	42.9966	41.9828	43.4374	32.0314	34.8496
FBgn0011559	0.0989515	0.0543894	0.110465	0	0	0.0211315
FBgn0051787	0	0	0	0	0	0.0829863
FBgn0051788	0	0.213866	0.186647	0	0.215492	0
FBgn0051802	0.168138	0	0	0	0.155195	0.270174
FBgn0032671	12.5954	11.7929	9.50832	8.48301	13.2029	9.5343
FBgn0032680	0.550434	0.672306	0.219535	0.0855292	0.169354	0.196549
FBgn0032682	39.0309	36.3869	43.7519	46.8019	31.7982	50.4468
FBgn0032684	15.0188	20.7977	20.6776	25.314	16.6534	20.7113
FBgn0032685	10.2877	12.1252	13.9002	12.3925	12.9071	12.2269
FBgn0032688	3.96515	4.16943	3.57246	4.14889	3.7964	5.01197
FBgn0051789	0	0	0	0	0	0
FBgn0032690	7.96569	8.19453	8.61367	8.77676	11.245	10.6322
FBgn0032694	43.2374	35.629	36.0094	45.0391	38.4088	46.6776
FBgn0032693	0.143552	0.263004	0.114508	0.167294	0.0993764	0.153779
FBgn0032692	0.435136	0.0996524	0.0867747	0.270454	0.16735	0.116534
FBgn0032691	4.53353	2.71127	3.50388	4.33615	2.84029	3.32154
FBgn0032689	24.1877	25.273	23.2297	24.374	22.5416	22.6741
FBgn0003270	0	0.163767	0	0	0	0
FBgn0032683	8.81076	6.97324	7.80214	7.822	6.81555	7.83356
FBgn0032681	7.49572	4.30133	4.11338	4.77744	6.65501	8.0206
FBgn0032698	1.63004	1.33616	1.01279	0.613757	1.77958	1.56155
FBgn0032700	11.4061	11.7408	11.0966	12.0625	12.0995	11.5674
FBgn0032701	9.41483	13.837	11.0011	9.15505	11.8061	12.0269
FBgn0032703	10.8328	10.8189	10.2654	7.36584	10.9763	11.5173
FBgn0032705	1.33556	0.946441	0.884439	0.963232	1.44209	1.67365
FBgn0032709	0	0	0.167533	0	0	0
FBgn0027074	31.642	25.391	18.8102	18.7878	23.2019	48.1742
FBgn0032713	8.61073	6.28301	6.02683	7.09571	6.81345	9.01229
FBgn0027070	50.1807	39.5287	36.5204	41.4641	33.2075	43.7812
FBgn0015808	27.5121	29.1611	26.6822	26.6932	29.0672	22.7784
FBgn0032719	24.9336	30.2688	27.1844	19.7697	28.8374	27.3673
FBgn0003896	5.08728	6.59216	6.58879	5.51609	6.79754	5.80089
FBgn0053120	69.2945	78.9652	65.6425	67.9699	57.6172	54.9197
FBgn0051752	0	0	0.0305566	0	0	0
